"","X","X.2","X.1","year","date","day","block","plot","species","id","person","HHMMSS","Photo","Cond","Ci","wueg","wuet","Trmmol","X.Blue","LeafAbs","PhiCO2","VpdL","CTleaf","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","BLCslope","BLCoffst","fda","Trans","Tair_K","Twall_K","R.W.m2.","Tl.Ta","SVTleaf","h2o_i","h20diff","CTair","SVTair","CndTotal","vp_kPa","VpdA","CndCO2","Ci_Pa","Ci.Ca","RHsfc","C2sfc","AHs.Cs","PARabs","Fv.","qP_Fo","Fo.","Fm.","Fs","Fv..Fm.","PhiPS2","qP","qN","NPQ","ParIn.Fs","PS2.1","ETR","sp","drawdown","cica","day2","time"
"11",11,11,11,2010,"june","6/24/2010",1,8,5,NA,"b","11:31:06",NA,0.024069287,138.5416083,NA,NA,0.397101462,10.03412724,0.875017064,NA,1.583689446,29.87540436,27.99340248,29.87540436,28.05324173,399.7943115,397.1764221,26.42482376,26.68206024,69.09013367,69.76270294,300.5063477,1487.909546,0.052812416,99.18141937,-1.546470642,-0.797833502,0.5,-1.355140209,7.355140209,1.502531738,0.000397101,303.0254044,301.1434025,238.065522,0.790459244,4.230054052,42.6496624,15.96760215,28.93440342,4.006532253,0.024007086,2.646364607,1.360167647,0.015010005,13.74075335,0.348816296,61.31677657,396.6277239,0.00583712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CADE",258.6348138,0.348816295709312,"6/24/2010",2010-06-24
"12",12,12,12,2010,"june","6/24/2010",1,8,5,NA,"b2","11:39:11",NA,0.160634327,342.6702101,NA,NA,2.042237362,10.03412724,0.875017064,NA,1.238984515,28.97271729,28.14155579,28.97271729,28.04701996,399.4689026,395.9267883,26.66938972,27.9902935,69.13834381,72.56269073,300.5630798,1467.382324,0.141933843,99.19307709,-1.908714294,-0.860604346,0.5,-1.355140209,7.355140209,1.502815399,0.002042237,302.1227173,301.2915558,234.7811666,0.538173264,4.015427856,40.48092845,12.49063494,28.55713654,3.919853083,0.157903912,2.776443341,1.143409741,0.098931676,33.99051257,0.865488823,68.59365513,395.2707227,0.007834394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CADE",53.2565782,0.865488823252731,"6/24/2010",2010-06-24
"13",13,13,13,2010,"june","6/24/2010",1,10,1,NA,"a","11:51:46",10.51206776,0.062830947,116.0450691,167.307167278571,98.825958192903,1.063695309,10.01873016,0.875009365,NA,1.631402287,30.9569416,28.24840736,30.9569416,28.03484154,399.5064087,392.2102661,28.17216301,28.86176872,72.73403931,74.51444244,299.5900879,1486.011108,2291.29541,99.40180969,-0.429142475,0.607444584,0.5,-1.355140209,7.355140209,1.497950439,0.001063695,304.1069416,301.3984074,237.761772,0.631667744,4.500314329,45.27396778,16.41219905,29.60267448,4.164179135,0.062408845,2.868912042,1.295267093,0.039043233,11.53508988,0.295874634,62.60658918,390.6826321,0.016845507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACRU",276.165197,0.295874634424823,"6/24/2010",2010-06-24
"14",14,14,14,2010,"june","6/24/2010",1,10,1,NA,"b","11:56:50",10.40666809,0.073867185,158.6021316,140.883507202826,102.832180572230,1.012005327,10.03412724,0.875017064,NA,1.321985019,29.50618744,28.24198914,29.50618744,28.04258728,398.8109131,391.6221313,27.76071739,28.41501427,71.56147766,73.24811554,300.5513916,1482.974854,0.074266903,99.2117691,-2.103813171,-0.852114737,0.5,-1.355140209,7.355140209,1.502756958,0.001012005,302.6561874,301.3919891,237.2759713,0.70858941,4.141088854,41.73989529,13.32488102,28.87408829,3.992563279,0.073284463,2.819103835,1.173459445,0.045854789,15.73519806,0.404987663,67.17687729,390.1098142,0.017920274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACRU",233.0199997,0.404987662657154,"6/24/2010",2010-06-24
"15",15,15,15,2010,"june","6/24/2010",1,12,3,NA,"a","11:57:24",14.37156391,0.198337745,264.6880995,72.4600549935667,53.7082859092567,2.675855846,10.01873016,0.875009365,NA,1.320131671,30.01861,28.31903267,30.01861,28.03633118,400.2322998,389.9382629,27.88974953,29.62373543,71.71508026,76.17381287,299.4934387,1488.731445,1474.652588,99.4092865,-0.429142475,0.607444584,0.75,-1.355140209,7.355140209,1.497467194,0.002675856,303.16861,301.4690327,238.1970259,0.398619947,4.265006073,42.90349748,13.27976205,29.16882133,4.061228921,0.194191705,2.944874402,1.116354519,0.121735624,26.31245512,0.678794888,68.55405534,387.8497595,0.025402336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALINT",125.2501634,0.678794888020208,"6/24/2010",2010-06-24
"16",16,16,16,2010,"june","6/24/2010",1,12,3,NA,"b","12:00:19",19.10688377,0.19110975,218.7133746,99.9785922486948,87.66773039818,2.17946617,10.03412724,0.875017064,NA,1.113368287,29.37484741,28.39784241,29.37484741,28.05557632,400.3950195,387.1215515,28.79626656,30.20250702,73.56172943,77.1540451,300.6087341,1483.959595,0.036308423,99.21259308,-1.595054626,-0.900408804,0.25,-1.355140209,7.355140209,1.503043671,0.002179466,302.5248474,301.5478424,237.4335298,0.51747371,4.109837326,41.42455306,11.22204604,28.88634491,3.995398467,0.187257456,2.996469039,0.998929429,0.117376023,21.69912103,0.564973388,72.46979422,384.3449022,0.036026806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALINT",168.4081769,0.564973388209827,"6/24/2010",2010-06-24
"17",17,17,17,2010,"june","6/24/2010",1,13,20,NA,"a","12:01:49",12.2108773,0.087287825,159.1501552,139.892101790828,86.3060166026427,1.41483521,10.01873016,0.875009365,NA,1.565754673,30.9338398,28.58595657,30.9338398,28.03610802,400.5055542,391.9823914,28.54301643,29.45983505,72.26669312,74.58794403,299.5476685,1486.520386,1071.647095,99.41105652,-0.350346088,0.641511738,0.5,-1.355140209,7.355140209,1.497738342,0.001414835,304.0838398,301.7359566,237.8432564,0.587289237,4.494388,45.21014218,15.75030713,29.75989819,4.202044752,0.086475289,2.928633327,1.273411425,0.054119474,15.82128507,0.406013532,64.14775858,390.2078831,0.020073926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SALIX",232.8322362,0.406013531963977,"6/24/2010",2010-06-24
"18",18,18,18,2010,"june","6/24/2010",1,13,20,NA,"b2","12:09:52",10.26362835,0.117845612,245.4536458,87.093852505938,69.4734699748535,1.477345206,10.03412724,0.875017064,NA,1.214184526,29.67945862,28.34061432,29.67945862,28.04934311,400.0034485,392.7879028,28.96545982,29.91907501,74.24304962,76.68731689,300.5708008,1484.544678,0.059413511,99.21596527,-2.019920349,-0.88568598,0.75,-1.355140209,7.355140209,1.502854004,0.001477345,302.8294586,301.4906143,237.5271431,0.624060301,4.182634433,42.15686882,12.23779381,29.01003647,4.024109068,0.116369397,2.968449907,1.055659161,0.072862076,24.35292039,0.624901235,70.26278954,391.2963725,0.018429794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SALIX",147.334257,0.624901235629398,"6/24/2010",2010-06-24
"19",19,19,19,2010,"june","6/24/2010",1,14,19,NA,"a","12:09:16",8.623971631,0.129246374,278.1536289,66.7250566812807,53.1052356059953,1.623940154,10.01873016,0.875009365,NA,1.219505512,30.13119125,28.3456955,30.13119125,28.03716087,399.1968079,393.0122986,29.86336136,30.91416931,76.67098236,79.36882019,299.5290222,1493.8927,1367.391968,99.40925598,-0.350346088,0.641511738,0.5,-1.355140209,7.355140209,1.497645111,0.00162394,303.2811913,301.4956955,239.0228267,0.582744259,4.292660082,43.1816941,12.26752479,29.23844337,4.077598698,0.127472865,3.073154571,1.004444127,0.079828003,27.6510453,0.7077479,70.90274804,391.7590464,0.015608147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PODE3",114.8586697,0.707747899724378,"6/24/2010",2010-06-24
"20",20,20,20,2010,"june","6/24/2010",1,14,19,NA,"b","12:14:13",18.52456156,0.172704968,207.0244507,107.261312598720,89.0089124415062,2.081202906,10.03412724,0.875017064,NA,1.174249356,29.50051117,28.38463783,29.50051117,28.0521965,400.0565796,387.1942139,28.54540253,29.88883591,72.98020935,76.41487885,300.572876,1484.796265,0.031356949,99.21713257,-1.894645691,-0.884011328,0.25,-1.355140209,7.355140209,1.50286438,0.002081203,302.6505112,301.5346378,237.567397,0.528656081,4.139733951,41.72398298,11.83514707,28.9425745,4.008427948,0.169552815,2.965484594,1.042943354,0.106249273,20.54037237,0.534678576,71.11822805,384.5021888,0.034263368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PODE3",180.1697632,0.534678575422792,"6/24/2010",2010-06-24
"21",21,21,21,2010,"june","6/24/2010",1,15,13,NA,"a","12:19:02",5.64748736,0.060668191,236.4989648,93.0881120223281,49.9644551318631,1.130300834,10.01873016,0.875009365,NA,1.794373424,31.40070343,28.35211182,31.40070343,28.04317093,399.8191528,395.7489624,27.64645958,28.37986755,70.95000458,72.83217621,299.4848938,1485.765503,2381.354492,99.40526581,-0.439152241,0.692155659,1,-1.355140209,7.355140209,1.497424469,0.001130301,304.5507034,301.5021118,237.7224752,0.60306943,4.615481702,46.4309578,18.05109025,29.87640762,4.230298047,0.060274557,2.821108278,1.409189769,0.037706767,23.50924246,0.597598446,59.8740468,394.9282586,0.008562009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LITU",159.2499976,0.597598445655457,"6/24/2010",2010-06-24
"22",22,22,22,2010,"june","6/24/2010",1,15,13,NA,"b","12:19:51",10.73912236,0.089203903,191.4967829,120.388480759637,84.088395244624,1.277122673,10.03412724,0.875017064,NA,1.381791919,30.18820953,28.46977615,30.18820953,28.04741669,399.9248962,392.445282,28.65667534,29.48145294,72.89982605,74.99797821,300.5588989,1485.118042,0.023105368,99.21266174,-1.995994568,-0.884263098,0.75,-1.355140209,7.355140209,1.502794495,0.001277123,303.3382095,301.6197762,237.6188814,0.641233006,4.306725338,43.40902927,13.92757633,29.32899284,4.09897505,0.088355476,2.924933418,1.174041632,0.055297776,18.99890555,0.487957919,67.01863056,390.884652,0.018412626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LITU",200.9484991,0.487957918423899,"6/24/2010",2010-06-24
"23",23,23,23,2010,"june","6/24/2010",1,16,14,NA,"a","12:23:59",13.88095704,0.181271091,258.8465061,76.5756799025389,63.1808693506975,2.197018885,10.01873016,0.875009365,NA,1.185958201,29.03246689,28.36271667,29.03246689,28.03479767,399.6485596,389.8091736,27.17640686,28.60128975,69.70701599,73.36181641,299.5588379,1482.967896,2482.577881,99.41427612,-0.308750629,0.770660222,0.5,-1.355140209,7.355140209,1.497794189,0.002197019,302.1824669,301.5127167,237.274858,0.528450823,4.029334718,40.53074543,11.92945568,28.69759178,3.951930405,0.177801632,2.843376517,1.108553888,0.111432607,25.73303803,0.664033901,70.09659443,387.7919661,0.025090974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MAPO",130.9626675,0.664033900766054,"6/24/2010",2010-06-24
"24",24,24,24,2010,"june","6/24/2010",1,16,14,NA,"b","12:23:46",15.68868563,0.246291778,278.3534993,63.6995914252566,58.149208878412,2.698005285,10.03412724,0.875017064,NA,1.076422457,29.03660774,28.21132088,29.03660774,28.04680252,399.7019958,388.5638123,28.0298233,29.77184105,72.38819122,76.88702393,300.5343323,1482.188354,0.077568933,99.21716309,-1.814628601,-0.848479331,0.5,-1.355140209,7.355140209,1.502671661,0.002698005,302.1866077,301.3613209,237.1501314,0.432476832,4.030300065,40.62099681,10.84915576,28.62396431,3.93508685,0.239930665,2.953877609,0.981209241,0.150515486,27.61744453,0.716364959,73.03239949,386.2839021,0.029661665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MAPO",110.210313,0.716364958569766,"6/24/2010",2010-06-24
"25",25,25,25,2010,"june","6/24/2010",1,17,10,NA,"a","12:28:49",7.842102289,0.134424461,291.7787053,58.3383576966695,38.0278085706444,2.062202025,10.01873016,0.875009365,NA,1.490739419,30.42779541,28.44861984,30.42779541,28.03924561,400.5864563,394.807312,27.58940125,28.92635345,70.40983582,73.82182312,299.5694275,1492.577271,1098.069946,99.40854645,-0.333836079,0.760087788,0.5,-1.355140209,7.355140209,1.497847137,0.002062202,303.5777954,301.5986198,238.8123579,0.495372871,4.36626617,43.92244254,14.99608909,29.43820763,4.124887723,0.132507052,2.875526751,1.249360972,0.082987066,29.00529698,0.739040784,65.07258675,393.6676826,0.012962859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COOB2",103.0286067,0.739040783773528,"6/24/2010",2010-06-24
"26",26,26,26,2010,"june","6/24/2010",1,17,10,NA,"b","12:27:52",5.732675857,0.143885933,323.2838356,39.8418089765592,30.1997937942842,1.898249935,10.03412724,0.875017064,NA,1.282718371,29.40066719,28.22884369,29.40066719,28.04873848,399.8780212,395.5636292,27.3278923,28.55498695,70.50601196,73.67191315,300.554718,1493.660278,0.117178649,99.22071838,-2.066184998,-0.836484015,0.25,-1.355140209,7.355140209,1.50277359,0.00189825,302.5506672,301.3788437,238.9856392,0.563942847,4.11596469,41.48291563,12.92792868,28.81475544,3.978863261,0.141691315,2.833246319,1.145616942,0.088751664,32.07645441,0.817273915,68.19716887,394.7305456,0.009904282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COOB2",72.2797936,0.817273914322758,"6/24/2010",2010-06-24
"27",27,27,27,2010,"june","6/24/2010",1,18,15,NA,"a","12:32:21",18.25387789,0.220312978,245.7724528,82.8543014383837,67.6876036744521,2.696782767,10.01873016,0.875009365,NA,1.20094376,29.66103363,28.30377388,29.66103363,28.03734589,400.2410278,387.3571777,28.20107651,29.94755554,72.58464813,77.07978058,299.5765381,1488.102173,2083.713867,99.41564941,-0.337162495,0.742061436,0.25,-1.355140209,7.355140209,1.49788269,0.002696783,302.8110336,301.4537739,238.0963423,0.410981565,4.178199443,42.02758286,12.08002731,28.98240376,4.017679558,0.215209125,2.977255683,1.040423875,0.134955126,24.43362801,0.634485346,70.87462875,384.7044889,0.033629366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PLOC",141.5847249,0.634485345693905,"6/24/2010",2010-06-24
"28",28,28,28,2010,"june","6/24/2010",1,18,15,NA,"b","12:32:25",10.07100716,0.136626664,266.0299771,73.711871937384,56.9938504861819,1.767034046,10.03412724,0.875017064,NA,1.256039001,29.50557137,28.35048866,29.50557137,28.04844284,399.5148621,392.3520203,27.9336071,29.07524872,71.56147003,74.48617554,300.5596619,1489.211304,0.178241849,99.22194672,-2.159690857,-0.872511923,0.5,-1.355140209,7.355140209,1.502798309,0.001767034,302.6555714,301.5004887,238.2738033,0.584888773,4.140941781,41.73413159,12.65888287,28.92803001,4.005054163,0.13464638,2.884902779,1.120151384,0.084329691,26.39601221,0.678039014,69.01025013,390.888482,0.017780077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PLOC",126.3220432,0.678039014292798,"6/24/2010",2010-06-24
"29",29,29,29,2010,"june","6/24/2010",1,19,7,NA,"a","12:37:32",12.85552305,0.104442963,183.7989014,123.08654102431,76.4697631050636,1.681124719,10.01873016,0.875009365,NA,1.558019763,30.85601616,28.28489304,30.85601616,28.0401535,399.1154785,390.0943298,28.24689293,29.33640671,72.78136444,75.58862305,299.5476685,1483.911987,2335.54126,99.41415405,-0.194492817,0.757964909,0.5,-1.355140209,7.355140209,1.497738342,0.001681125,304.0060162,301.434893,237.4259127,0.528404875,4.474473819,45.00841818,15.67201147,29.5704546,4.156456156,0.103281781,2.916454056,1.2400021,0.064654443,18.2722123,0.471165273,64.23757173,388.2261404,0.021271303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEOC",206.2954284,0.471165273010333,"6/24/2010",2010-06-24
"30",30,30,30,2010,"june","6/24/2010",1,19,7,NA,"b","12:38:13",15.5414936,0.161480527,226.0281906,96.2437631876195,77.3441053928643,2.009396142,10.03412724,0.875017064,NA,1.211076728,29.61719322,28.38931465,29.61719322,28.04684067,399.3800049,388.5189819,28.49965096,29.79689217,72.84896088,76.16488647,300.5643616,1481.91333,0.043381829,99.22466278,-2.074607849,-0.8789168,0.25,-1.355140209,7.355140209,1.502821808,0.002009396,302.7671932,301.5393147,237.1061275,0.534075472,4.167663305,42.00229246,12.2054003,29.00325394,4.022530096,0.158721516,2.956586577,1.065943519,0.099445192,22.42757099,0.581768719,70.37404135,386.2604621,0.028315549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEOC",162.4907913,0.581768719496379,"6/24/2010",2010-06-24
"31",31,31,31,2010,"june","6/24/2010",1,20,12,NA,"a","12:48:23",11.92991063,0.096485147,184.101342,123.645047978214,77.2795242059032,1.543734643,10.01873016,0.875009365,NA,1.5467691,30.95467377,28.37687492,30.95467377,28.03669167,399.4890442,391.1209717,28.70561981,29.70567131,73.56374359,76.12657928,299.559967,1486.03418,2483.283203,99.40738678,-0.14996767,0.755832493,0.5,-1.355140209,7.355140209,1.497799835,0.001543735,304.1046738,301.5268749,237.7654634,0.553451423,4.499732257,45.26557234,15.55990103,29.66577435,4.179340166,0.095493332,2.952963158,1.226377008,0.059771655,18.30103331,0.470701791,64.65368281,389.387294,0.019808367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LIST2",207.0196297,0.470701791314863,"6/24/2010",2010-06-24
"32",32,32,32,2010,"june","6/24/2010",1,20,12,NA,"b","12:44:13",16.71991549,0.156829923,207.6283148,106.611768788537,75.9501792015379,2.201432347,10.03412724,0.875017064,NA,1.365555481,29.91352081,28.37382126,29.91352081,28.04467201,399.1460876,387.4520569,27.54010391,28.96263885,70.45890045,74.09833527,300.5441895,1479.274902,0.061064441,99.22359467,-1.850120544,-0.852572501,0.25,-1.355140209,7.355140209,1.502720947,0.002201432,303.0635208,301.5238213,236.6839791,0.483656958,4.239332619,42.72504572,13.76240687,29.14367104,4.055329599,0.154226261,2.873777138,1.181552461,0.096622003,20.60162775,0.535881307,67.1455745,385.0222865,0.029158529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LIST2",179.8237421,0.535881307383505,"6/24/2010",2010-06-24
